iter	Passed	Remaining
455	844	1007
456	846	1005
457	847	1002
458	849	1000
459	850	998
460	852	996
461	853	994
462	855	991
463	856	989
464	857	987
465	859	984
466	860	982
467	862	980
468	863	977
469	865	975
470	866	973
471	868	971
472	870	969
473	871	967
474	872	964
475	874	963
476	876	961
477	878	958
478	879	956
479	881	954
480	882	952
481	884	950
482	886	948
483	887	946
484	889	944
485	890	942
486	892	940
487	893	937
488	895	935
489	896	933
490	898	931
491	899	928
492	901	926
493	902	924
494	904	922
495	905	920
496	907	918
497	909	916
498	910	914
499	911	911
500	914	910
501	915	908
502	916	905
503	918	903
504	919	901
505	921	899
506	922	896
507	923	894
508	925	892
509	927	890
510	928	888
511	930	886
512	931	884
513	933	882
514	934	879
515	936	878
516	937	875
517	938	873
518	940	871
519	941	869
520	943	867
521	944	864
522	945	862
523	947	860
524	949	858
525	950	856
526	952	855
527	954	853
528	955	850
529	957	849
530	958	847
531	960	844
532	961	842
533	963	840
534	964	838
535	966	836
536	967	834
537	969	832
538	971	830
539	972	828
540	973	825
541	976	825
542	977	823
543	979	820
544	980	818
545	982	816
546	983	814
547	984	812
548	986	810
549	988	808
550	989	806
551	991	804
552	993	802
553	994	800
554	996	798
555	997	796
556	999	794
557	1000	792
558	1001	790
559	1003	788
560	1004	786
561	1006	784
562	1007	782
563	1009	780
564	1010	777
565	1011	775
566	1013	773
567	1014	771
568	1015	769
569	1017	767
570	1018	765
571	1020	763
572	1021	761
573	1022	759
574	1024	757
575	1025	755
576	1027	753
577	1028	751
578	1030	749
579	1031	746
580	1032	744
581	1034	742
582	1035	740
583	1037	738
584	1038	736
585	1040	734
586	1042	733
587	1043	731
588	1045	729
589	1047	727
590	1048	725
591	1050	723
592	1051	721
593	1053	719
594	1054	717
595	1055	715
596	1057	713
597	1058	711
598	1059	709
599	1061	707
600	1062	705
601	1064	703
602	1065	701
603	1067	699
604	1068	697
605	1070	695
606	1071	693
607	1072	691
608	1074	689
609	1075	687
610	1077	685
611	1078	683
612	1080	681
613	1081	680
614	1083	678
615	1084	676
616	1086	674
617	1087	672
618	1088	670
619	1092	669
620	1093	667
621	1095	665
622	1097	664
623	1098	662
624	1100	660
625	1102	658
626	1103	656
627	1105	654
628	1106	652
629	1108	650
630	1109	648
631	1110	646
632	1112	644
633	1114	643
634	1116	641
635	1117	639
636	1119	637
637	1120	635
638	1121	633
639	1123	631
640	1125	630
641	1126	628
642	1127	626
643	1131	625
644	1133	623
645	1135	622
646	1136	620
647	1150	625
648	1153	623
649	1155	622
650	1157	620
651	1158	618
652	1160	616
653	1161	614
654	1163	612
655	1164	610
656	1166	608
657	1167	606
658	1169	605
659	1172	604
660	1174	602
661	1176	600
662	1177	598
663	1178	596
664	1180	594
665	1181	592
666	1182	590
667	1185	588
668	1186	587
669	1187	585
670	1189	583
671	1190	581
672	1192	579
673	1193	577
674	1195	575
675	1196	573
676	1198	571
677	1199	569
678	1200	567
679	1202	565
680	1203	563
681	1205	562
682	1207	560
683	1209	558
684	1210	556
685	1212	555
686	1214	553
687	1216	551
688	1217	549
689	1218	547
690	1220	545
691	1221	543
692	1222	541
693	1224	539
694	1226	538
695	1227	536
696	1228	534
697	1230	532
698	1231	530
699	1233	528
700	1234	526
701	1236	524
702	1237	522
703	1238	520
704	1240	518
705	1241	517
706	1242	515
707	1244	513
708	1245	511
709	1247	509
710	1248	507
711	1250	505
712	1251	503
713	1253	501
714	1254	499
715	1256	498
716	1257	496
717	1259	494
718	1260	492
719	1261	490
720	1263	488
721	1264	487
722	1266	485
723	1267	483
724	1269	481
725	1270	479
726	1272	477
727	1273	475
728	1275	473
729	1276	472
730	1277	470
731	1279	468
732	1280	466
733	1281	464
734	1283	462
735	1284	460
736	1286	459
737	1288	457
738	1289	455
739	1291	453
740	1292	451
741	1293	449
742	1295	447
743	1296	446
744	1298	444
745	1299	442
746	1300	440
747	1302	438
748	1303	436
749	1304	434
750	1306	433
751	1308	431
752	1309	429
753	1310	427
754	1311	425
755	1313	423
756	1314	422
757	1315	420
758	1317	418
759	1319	416
760	1321	414
761	1322	413
762	1324	411
763	1325	409
764	1327	407
765	1328	405
766	1330	404
767	1331	402
768	1333	400
769	1334	398
770	1336	396
771	1337	394
772	1338	393
773	1340	391
774	1341	389
775	1342	387
776	1344	385
777	1345	383
778	1347	382
779	1348	380
780	1349	378
781	1351	376
782	1352	374
783	1353	373
784	1355	371
785	1356	369
786	1358	367
787	1359	365
788	1360	363
789	1362	362
790	1363	360
791	1364	358
792	1366	356
793	1367	354
794	1368	352
795	1370	351
796	1371	349
797	1372	347
798	1374	345
799	1376	344
800	1377	342
801	1378	340
802	1380	338
803	1381	336
804	1383	335
805	1384	333
806	1386	331
807	1387	329
808	1388	327
809	1390	326
810	1392	324
811	1393	322
812	1395	320
813	1396	319
814	1398	317
815	1399	315
816	1400	313
817	1401	311
818	1403	310
819	1405	308
820	1406	306
821	1408	305
822	1410	303
823	1411	301
824	1412	299
825	1414	297
826	1415	296
827	1416	294
828	1418	292
829	1419	290
830	1421	289
831	1422	287
832	1423	285
833	1425	283
834	1426	281
835	1427	280
836	1429	278
837	1431	276
838	1432	274
839	1433	273
840	1435	271
841	1436	269
842	1438	267
843	1439	266
844	1440	264
845	1442	262
846	1443	260
847	1444	259
848	1446	257
849	1447	255
850	1449	253
851	1450	251
852	1451	250
853	1452	248
854	1454	246
855	1455	244
856	1456	243
857	1458	241
858	1459	239
859	1460	237
860	1462	236
861	1463	234
862	1465	232
863	1466	230
864	1467	229
865	1469	227
866	1470	225
867	1471	223
868	1473	222
869	1474	220
870	1475	218
871	1477	216
872	1479	215
873	1480	213
874	1481	211
875	1482	209
876	1484	208
877	1486	206
878	1487	204
879	1488	202
880	1490	201
881	1491	199
882	1492	197
883	1493	196
884	1495	194
885	1497	192
886	1498	190
887	1499	189
888	1501	187
889	1503	185
890	1504	184
891	1505	182
892	1507	180
893	1509	178
894	1510	177
895	1511	175
896	1513	173
897	1515	172
898	1516	170
899	1517	168
900	1519	166
901	1521	165
902	1522	163
903	1525	161
904	1526	160
905	1528	158
906	1530	156
907	1532	155
908	1533	153
909	1535	151
910	1536	150
911	1538	148
912	1540	146
913	1541	145
914	1542	143
915	1544	141
916	1546	139
917	1548	138
918	1550	136
919	1552	134
920	1553	133
921	1554	131
922	1556	129
923	1558	128
924	1559	126
925	1561	124
926	1562	123
927	1564	121
928	1565	119
929	1567	117
930	1569	116
931	1570	114
932	1572	112
933	1574	111
934	1576	109
935	1577	107
936	1579	106
937	1580	104
938	1582	102
939	1584	101
940	1586	99
941	1587	97
942	1589	96
943	1591	94
944	1592	92
945	1594	91
946	1597	89
947	1598	87
948	1600	86
949	1602	84
950	1603	82
951	1606	81
952	1608	79
953	1611	77
954	1612	76
955	1615	74
956	1617	72
957	1619	70
958	1620	69
959	1621	67
960	1624	65
961	1625	64
962	1627	62
963	1629	60
964	1631	59
965	1633	57
966	1635	55
967	1637	54
968	1639	52
969	1641	50
970	1642	49
971	1643	47
972	1646	45
973	1647	43
974	1649	42
975	1650	40
976	1652	38
977	1653	37
978	1655	35
979	1656	33
980	1658	32
981	1659	30
982	1661	28
983	1662	27
984	1664	25
985	1665	23
986	1666	21
987	1668	20
988	1669	18
989	1671	16
990	1673	15
991	1674	13
992	1676	11
993	1677	10
994	1678	8
995	1680	6
996	1681	5
997	1683	3
998	1684	1
999	1686	0
